Modelo,Acurácia,Precisão,Revocação,F1,AUC-ROC,Log-loss
Baseline (classe majoritária),0.4917915774446824,0.0,0.0,0.0,,
Baseline (melhor cartel),0.4889364739471806,0.49663299663299665,0.4143258426966292,0.45176110260336905,0.4809170186396178,0.8597429340529743
Regressão Logística,0.6124197002141327,0.6240822320117474,0.5969101123595506,0.6101938262742282,0.6648721482037149,0.6530764498208773
Random Forest,0.6245538900785154,0.6355685131195336,0.6123595505617978,0.6237482117310443,0.6751500301691101,0.6589094762103429
XGBoost,0.6216987865810135,0.6292613636363636,0.6221910112359551,0.6257062146892656,0.6631455781869181,0.6541826128959656
SVM (RBF),0.6059957173447538,0.6152737752161384,0.5997191011235955,0.6073968705547653,0.6441471926419987,0.6632727312773107
Rede Neural (MLP),0.6188436830835118,0.6328358208955224,0.5955056179775281,0.613603473227207,0.6609440485314984,0.658557632640236
